year,agrland,forestarea,electricityconsum,co2emission,poptot,urbanpop
1960,NA,NA,NA,5.63E+00,1.74E+07,4.66E+01
1961,8.35E+01,NA,NA,5.69E+00,1.79E+07,4.68E+01
1962,8.25E+01,NA,NA,5.73E+00,1.85E+07,4.69E+01
1963,8.16E+01,NA,NA,5.80E+00,1.89E+07,4.70E+01
1964,8.06E+01,NA,NA,6.17E+00,1.94E+07,4.71E+01
1965,7.96E+01,NA,NA,6.47E+00,1.98E+07,4.72E+01
1966,7.95E+01,NA,NA,6.33E+00,2.03E+07,4.74E+01
1967,7.93E+01,NA,NA,6.47E+00,2.07E+07,4.75E+01
1968,7.91E+01,NA,NA,6.53E+00,2.12E+07,4.76E+01
1969,7.90E+01,NA,NA,6.63E+00,2.16E+07,4.77E+01
1970,7.88E+01,NA,NA,6.78E+00,2.21E+07,4.78E+01
1971,7.86E+01,NA,2.25E+03,7.46E+00,2.26E+07,4.79E+01
1972,7.85E+01,NA,2.41E+03,7.43E+00,2.31E+07,4.79E+01
1973,7.83E+01,NA,2.53E+03,7.34E+00,2.37E+07,4.80E+01
1974,7.82E+01,NA,2.67E+03,7.31E+00,2.42E+07,4.80E+01
1975,7.80E+01,NA,2.80E+03,7.49E+00,2.47E+07,4.81E+01
1976,7.78E+01,NA,2.95E+03,7.64E+00,2.53E+07,4.82E+01
1977,7.78E+01,NA,3.04E+03,7.75E+00,2.58E+07,4.82E+01
1978,7.77E+01,NA,3.20E+03,7.67E+00,2.64E+07,4.83E+01
1979,7.77E+01,NA,3.44E+03,8.13E+00,2.69E+07,4.83E+01
1980,7.76E+01,NA,3.64E+03,8.28E+00,2.76E+07,4.84E+01
1981,7.76E+01,NA,3.82E+03,9.11E+00,2.83E+07,4.86E+01
1982,7.75E+01,NA,3.90E+03,9.69E+00,2.90E+07,4.88E+01
1983,7.75E+01,NA,3.95E+03,9.83E+00,2.97E+07,4.89E+01
1984,7.75E+01,NA,4.21E+03,1.04E+01,3.05E+07,4.91E+01
1985,7.75E+01,NA,4.30E+03,1.04E+01,3.13E+07,4.94E+01
1986,7.78E+01,NA,4.39E+03,1.03E+01,3.21E+07,4.99E+01
1987,7.80E+01,NA,4.35E+03,9.99E+00,3.29E+07,5.04E+01
1988,7.82E+01,NA,4.43E+03,1.02E+01,3.37E+07,5.10E+01
1989,7.86E+01,NA,4.45E+03,9.89E+00,3.45E+07,5.15E+01
1990,7.88E+01,7.62E+00,4.43E+03,9.09E+00,3.52E+07,5.20E+01
1991,7.91E+01,7.62E+00,4.33E+03,9.26E+00,3.59E+07,5.26E+01
1992,7.95E+01,7.62E+00,4.21E+03,8.39E+00,3.67E+07,5.30E+01
1993,7.99E+01,7.62E+00,4.26E+03,8.57E+00,3.75E+07,5.35E+01
1994,8.02E+01,7.62E+00,4.31E+03,8.82E+00,3.83E+07,5.40E+01
1995,8.04E+01,7.62E+00,4.40E+03,9.04E+00,3.91E+07,5.45E+01
1996,8.07E+01,7.62E+00,4.97E+03,8.97E+00,4.00E+07,5.50E+01
1997,8.07E+01,7.62E+00,5.06E+03,9.07E+00,4.09E+07,5.54E+01
1998,8.08E+01,7.62E+00,4.80E+03,8.88E+00,4.19E+07,5.59E+01
1999,8.08E+01,7.62E+00,4.62E+03,8.64E+00,4.29E+07,5.64E+01
2000,8.09E+01,7.62E+00,4.68E+03,8.38E+00,4.40E+07,5.69E+01
2001,8.08E+01,7.62E+00,4.37E+03,8.08E+00,4.49E+07,5.74E+01
2002,8.08E+01,7.62E+00,4.59E+03,7.63E+00,4.55E+07,5.79E+01
2003,8.07E+01,7.62E+00,4.62E+03,8.26E+00,4.61E+07,5.84E+01
2004,8.05E+01,7.62E+00,4.65E+03,9.09E+00,4.67E+07,5.90E+01
2005,8.04E+01,7.62E+00,4.69E+03,8.28E+00,4.73E+07,5.95E+01
2006,7.99E+01,7.62E+00,4.77E+03,8.80E+00,4.80E+07,6.01E+01
2007,7.99E+01,7.62E+00,4.90E+03,9.06E+00,4.87E+07,6.06E+01
2008,8.01E+01,7.62E+00,4.71E+03,9.51E+00,4.93E+07,6.12E+01
2009,8.00E+01,7.62E+00,4.47E+03,9.55E+00,5.01E+07,6.17E+01
2010,7.99E+01,7.62E+00,4.58E+03,8.96E+00,5.08E+07,6.22E+01
2011,7.94E+01,7.62E+00,4.61E+03,9.26E+00,5.16E+07,6.27E+01
2012,7.98E+01,7.62E+00,4.41E+03,NA,5.23E+07,6.33E+01
2013,7.98E+01,7.62E+00,4.33E+03,NA,5.32E+07,6.38E+01
2014,NA,7.62E+00,NA,NA,5.40E+07,6.43E+01
2015,NA,7.62E+00,NA,NA,5.48E+07,6.48E+01
