year,agrland,forestarea,electricityconsum,co2emmision,poptot,urbanpop
1960,NA,NA,4.05E+03,1.60E+01,1.81E+08,7.00E+01
1961,4.89E+01,NA,4.18E+03,1.57E+01,1.84E+08,7.04E+01
1962,4.85E+01,NA,4.43E+03,1.60E+01,1.87E+08,7.08E+01
1963,4.82E+01,NA,4.69E+03,1.65E+01,1.89E+08,7.11E+01
1964,4.79E+01,NA,4.97E+03,1.70E+01,1.92E+08,7.15E+01
1965,4.76E+01,NA,5.23E+03,1.75E+01,1.94E+08,7.19E+01
1966,4.76E+01,NA,5.59E+03,1.81E+01,1.97E+08,7.22E+01
1967,4.75E+01,NA,5.89E+03,1.86E+01,1.99E+08,7.26E+01
1968,4.76E+01,NA,6.39E+03,1.91E+01,2.01E+08,7.30E+01
1969,4.75E+01,NA,6.90E+03,1.99E+01,2.03E+08,7.33E+01
1970,4.74E+01,NA,7.24E+03,2.11E+01,2.05E+08,7.36E+01
1971,4.73E+01,NA,7.52E+03,2.10E+01,2.08E+08,7.36E+01
1972,4.72E+01,NA,8.08E+03,2.17E+01,2.10E+08,7.36E+01
1973,4.71E+01,NA,8.57E+03,2.25E+01,2.12E+08,7.36E+01
1974,4.70E+01,NA,8.45E+03,2.15E+01,2.14E+08,7.36E+01
1975,4.70E+01,NA,8.52E+03,2.04E+01,2.16E+08,7.37E+01
1976,4.70E+01,NA,8.97E+03,2.12E+01,2.18E+08,7.37E+01
1977,4.70E+01,NA,9.34E+03,2.15E+01,2.20E+08,7.37E+01
1978,4.67E+01,NA,9.56E+03,2.20E+01,2.23E+08,7.37E+01
1979,4.67E+01,NA,9.70E+03,2.18E+01,2.25E+08,7.37E+01
1980,4.67E+01,NA,9.86E+03,2.08E+01,2.27E+08,7.37E+01
1981,4.67E+01,NA,9.98E+03,1.98E+01,2.29E+08,7.39E+01
1982,4.71E+01,NA,9.54E+03,1.86E+01,2.32E+08,7.40E+01
1983,4.71E+01,NA,9.74E+03,1.86E+01,2.34E+08,7.42E+01
1984,4.71E+01,NA,1.03E+04,1.90E+01,2.36E+08,7.43E+01
1985,4.71E+01,NA,1.04E+04,1.89E+01,2.38E+08,7.45E+01
1986,4.71E+01,NA,1.04E+04,1.87E+01,2.40E+08,7.46E+01
1987,4.66E+01,NA,1.09E+04,1.94E+01,2.42E+08,7.48E+01
1988,4.66E+01,NA,1.13E+04,2.00E+01,2.44E+08,7.49E+01
1989,4.66E+01,NA,1.15E+04,2.01E+01,2.47E+08,7.51E+01
1990,4.66E+01,3.30E+01,1.17E+04,1.93E+01,2.50E+08,7.53E+01
1991,4.66E+01,3.30E+01,1.21E+04,1.91E+01,2.53E+08,7.57E+01
1992,4.64E+01,3.30E+01,1.20E+04,1.91E+01,2.57E+08,7.61E+01
1993,4.62E+01,3.31E+01,1.23E+04,1.94E+01,2.60E+08,7.65E+01
1994,4.60E+01,3.31E+01,1.25E+04,1.94E+01,2.63E+08,7.69E+01
1995,4.59E+01,3.31E+01,1.27E+04,1.93E+01,2.66E+08,7.73E+01
1996,4.55E+01,3.31E+01,1.29E+04,1.95E+01,2.69E+08,7.76E+01
1997,4.53E+01,3.31E+01,1.29E+04,1.97E+01,2.73E+08,7.80E+01
1998,4.53E+01,3.31E+01,1.32E+04,1.96E+01,2.76E+08,7.84E+01
1999,4.52E+01,3.31E+01,1.33E+04,1.97E+01,2.79E+08,7.87E+01
2000,4.52E+01,3.31E+01,1.37E+04,2.02E+01,2.82E+08,7.91E+01
2001,4.53E+01,3.32E+01,1.30E+04,1.97E+01,2.85E+08,7.92E+01
2002,4.51E+01,3.32E+01,1.33E+04,1.96E+01,2.88E+08,7.94E+01
2003,4.52E+01,3.32E+01,1.33E+04,1.96E+01,2.90E+08,7.96E+01
2004,4.49E+01,3.32E+01,1.34E+04,1.97E+01,2.93E+08,7.98E+01
2005,4.49E+01,3.33E+01,1.37E+04,1.96E+01,2.96E+08,7.99E+01
2006,4.47E+01,3.33E+01,1.36E+04,1.91E+01,2.98E+08,8.01E+01
2007,4.51E+01,3.34E+01,1.37E+04,1.92E+01,3.01E+08,8.03E+01
2008,4.52E+01,3.36E+01,1.37E+04,1.85E+01,3.04E+08,8.04E+01
2009,4.48E+01,3.37E+01,1.29E+04,1.72E+01,3.07E+08,8.06E+01
2010,4.46E+01,3.37E+01,1.34E+04,1.75E+01,3.09E+08,8.08E+01
2011,4.42E+01,3.38E+01,1.32E+04,1.70E+01,3.12E+08,8.09E+01
2012,4.47E+01,3.38E+01,1.30E+04,NA,3.14E+08,8.11E+01
2013,4.43E+01,3.38E+01,1.30E+04,NA,3.16E+08,8.13E+01
2014,NA,3.39E+01,NA,NA,3.19E+08,8.14E+01
2015,NA,3.39E+01,NA,NA,3.21E+08,8.16E+01
